,eval_tr,eval_sr,test_tr,test_sr
0,0.38733158264880285,0.9101456645221654,0.09287269676321741,0.31876931854871626
1,0.4734682438282187,0.9750205551937668,0.11048440243636248,0.3502903214222558
2,0.5035624300672903,1.0389440840448123,0.14599657969357738,0.4351698497043714
3,0.4887866290088858,0.9882681316317172,0.14470938169116754,0.42907572594419346
4,0.39968082806956184,0.9132697462906598,0.09857342045355133,0.3293211501549018
5,0.41848221467083135,0.9918970832664478,0.10450878750173365,0.3523875983383328
6,0.42679148992185567,0.9898623251057102,0.11276077487277503,0.37280583017445174
7,0.4329729551297623,0.9946957423468519,0.08920093160080533,0.30769582710365
8,0.3470056634237162,0.87830645765783,0.07376982668530796,0.27234377482264055
9,0.387729100501673,0.9559329203631527,0.1308565361176124,0.4323788105821987
