,eval_tr,eval_sr,test_tr,test_sr
0,0.38732242635401093,0.9101836141006888,0.09283580207408004,0.31868357847361845
1,0.37591640729380416,0.8917856567172094,0.07473673439345885,0.2734976272386001
2,0.36735313822663573,0.8590914697683629,0.07324145229099299,0.2656606758166377
3,0.45056575675858945,1.0010170633712956,0.12473393022466306,0.39710393160034
4,0.4440954333637148,0.9637827545271676,0.11610761450213536,0.36986518888005687
5,0.4274022634669217,0.9331122888539317,0.09408363056617386,0.31302979694007455
6,0.42196978388733064,0.9389989702474473,0.11372644762985185,0.36763503116189106
7,0.4351517235280864,0.9357165911975698,0.13175790905702178,0.409415037861325
8,0.47656848221830894,1.0162482335316527,0.17052777916378514,0.5098032148342194
9,0.4490368790592112,1.006144401427625,0.1368844518278911,0.4306025768266485
