,eval_tr,eval_sr,test_tr,test_sr
0,0.3873722478068298,0.9101893097944583,0.09288978338858933,0.3188044307647192
1,0.43366083280134204,1.0042770273537152,0.1443648414515557,0.4534566381910878
2,0.4034265279168807,0.9556468692955407,0.07653823071072141,0.2772099361910605
3,0.3459060389263937,0.8456375465380304,0.060671320644140714,0.23227963199240695
4,0.3811585770422925,0.8821045628978956,0.0693398321726868,0.2526574479548406
5,0.3717558977363935,0.880815320040942,0.028288243029430893,0.13690444073741437
6,0.3285600677252516,0.8090761207717171,0.01319227502648923,0.09231679499009537
7,0.4602619487979487,1.006690530468566,0.1447298316538399,0.44647459578810234
8,0.3988044774006707,0.8913655232070635,0.09404080881187205,0.31451389601902496
9,0.3858420923149677,0.8961148468905028,0.08368288997812612,0.294351910737981
