,eval_tr,eval_sr,test_tr,test_sr
0,0.38734360163027426,0.9101024816278293,0.09288493605430093,0.3187851637562441
1,0.4156269459437738,0.9684259511046666,0.05342993501865334,0.21063556729400937
2,0.4334531123787504,0.9877900590823964,0.0853304947981457,0.30087375605500155
3,0.41640971434124174,0.9171292378968324,0.10411629125507482,0.337715984857077
4,0.37031518474088676,0.8895656538300717,0.0722227624669689,0.26200827225075607
5,0.34897122179119267,0.862008715195828,0.12537455793560914,0.40923828849962557
6,0.3690234576404601,0.8724440839349001,0.13361187949470654,0.42354687380700307
7,0.4100010616066818,0.9399938301083677,0.132089256095705,0.420908258504513
8,0.3904684580646618,0.8828058991360265,0.10866572764526294,0.3516940539609344
9,0.37105926806433875,0.8440908629920056,0.1297510170553864,0.40098260843486805
